Date,Time,AQI,Temp_in_C,Humidity,Temp_in_C,Baro_Pressure,Altitude,Temp_in_F,Temp_in_C
27/11/2022,22:27:21,238,20.20,59.00,20.21,92221.70,1499.82,86.31,30.1
27/11/2022,22:30:21,236,20.10,60.00,20.18,92223.23,1499.69,86.15,30.0
27/11/2022,22:33:22,236,20.10,60.00,20.15,92226.56,1499.39,86.15,30.0
27/11/2022,22:36:22,236,20.10,61.00,20.10,92227.31,1499.33,86.00,30.0
27/11/2022,22:39:23,240,20.10,61.00,20.04,92228.09,1499.26,87.24,30.6
27/11/2022,22:42:23,239,20.00,60.00,19.99,92228.80,1499.19,87.24,30.6
27/11/2022,22:45:24,246,19.90,60.00,19.96,92231.14,1498.99,86.31,30.1
27/11/2022,22:48:24,236,19.90,60.00,19.93,92230.94,1499.01,86.15,30.0
27/11/2022,22:51:24,233,19.90,60.00,19.90,92230.73,1499.02,86.15,30.0
27/11/2022,22:54:25,235,19.80,60.00,19.86,92231.75,1498.93,86.31,30.1
27/11/2022,22:57:25,234,19.80,60.00,19.81,92231.97,1498.91,86.31,30.1
27/11/2022,23:0:26,237,19.80,60.00,19.76,92231.84,1498.93,86.31,30.1
27/11/2022,23:3:26,237,19.70,60.00,19.75,92234.22,1498.72,86.47,30.2
27/11/2022,23:6:26,236,19.80,60.00,19.74,92234.31,1498.71,86.31,30.1
27/11/2022,23:9:27,236,19.70,61.00,19.69,92235.17,1498.63,86.31,30.1
27/11/2022,23:12:27,242,19.70,61.00,19.67,92238.80,1498.31,87.55,30.8
27/11/2022,23:15:28,239,19.60,60.00,19.64,92235.25,1498.62,87.55,30.8
27/11/2022,23:18:28,234,19.60,60.00,19.63,92235.08,1498.64,86.31,30.1
27/11/2022,23:21:28,236,19.60,61.00,19.62,92232.77,1498.85,86.47,30.2
27/11/2022,23:24:29,236,19.60,61.00,19.60,92233.71,1498.76,86.62,30.3
27/11/2022,23:27:29,235,19.60,61.00,19.58,92235.13,1498.63,86.47,30.2
27/11/2022,23:30:30,235,19.60,61.00,19.57,92230.77,1499.02,86.47,30.2
27/11/2022,23:33:30,235,19.60,61.00,19.56,92230.66,1499.03,86.47,30.2
27/11/2022,23:36:30,232,19.60,61.00,19.55,92231.21,1498.98,86.62,30.3
27/11/2022,23:39:31,233,19.60,62.00,19.53,92228.73,1499.20,86.47,30.2
27/11/2022,23:42:31,234,19.50,62.00,19.52,92227.80,1499.28,86.47,30.2
27/11/2022,23:45:32,235,19.50,62.00,19.49,92228.42,1499.23,86.62,30.3
27/11/2022,23:48:32,239,19.50,62.00,19.46,92225.48,1499.49,87.71,30.9
27/11/2022,23:51:32,235,19.40,62.00,19.45,92222.00,1499.80,86.62,30.3
27/11/2022,23:54:33,233,19.40,62.00,19.42,92219.41,1500.02,86.62,30.3
27/11/2022,23:57:33,235,19.40,62.00,19.39,92216.80,1500.25,87.55,30.8
28/11/2022,0:0:34,234,19.40,62.00,19.38,92211.13,1500.76,86.62,30.3
28/11/2022,0:3:34,233,19.40,62.00,19.36,92209.02,1500.94,86.62,30.3
28/11/2022,0:6:34,232,19.30,62.00,19.33,92208.95,1500.95,86.62,30.3
28/11/2022,0:9:35,235,19.30,62.00,19.32,92209.37,1500.91,87.87,31.0
28/11/2022,0:12:35,236,19.30,62.00,19.30,92205.88,1501.22,87.55,30.8
28/11/2022,0:15:36,236,19.30,62.00,19.31,92204.33,1501.36,87.71,30.9
28/11/2022,0:18:36,235,19.30,62.00,19.30,92202.30,1501.54,87.71,30.9
28/11/2022,0:21:36,235,19.30,62.00,19.30,92199.46,1501.79,87.87,31.0
28/11/2022,0:24:37,239,19.30,62.00,19.30,92196.25,1502.07,87.55,30.8
